key,th,en,cn,jp
post.photoVideo,รูป/วิดีโอ,Photo/Video,图片/视频,写真/動画
post.sticker,สติกเกอร์,Sticker,贴纸,スタンプ
post.loadMore,โหลดเพิ่ม,Load more,加载更多,もっと読む
post.loadingMore,กำลังโหลดเพิ่ม...,Loading more...,加载中...,読み込み中...
post.allLoaded,โพสต์ทั้งหมด,All posts,全部帖子,すべての投稿
comment.reply,ตอบกลับ,Reply,回复,返信
comment.edit,แก้ไข,Edit,编辑,編集
comment.delete,ลบ,Delete,删除,削除
comment.deleteConfirm,ลบความคิดเห็นนี้ใช่หรือไม่?,Delete this comment?,确认删除此评论？,このコメントを削除しますか？
comment.showReplies,ดูการตอบกลับทั้ง {n} รายการ,View {n} replies,查看 {n} 条回复,{n}件の返信を見る
comment.hideReplies,ซ่อนการตอบกลับ,Hide replies,隐藏回复,返信を隠す
common.save,บันทึก,Save,保存,保存
common.cancel,ยกเลิก,Cancel,取消,キャンセル
common.confirm,ยืนยัน,Confirm,确认,確認
common.delete,ลบ,Delete,删除,削除
common.edit,แก้ไข,Edit,编辑,編集
common.close,ปิด,Close,关闭,閉じる
common.back,กลับ,Back,返回,戻る
common.next,ถัดไป,Next,下一步,次へ
common.loading,กำลังโหลด...,Loading...,加载中...,読み込み中...
common.error,เกิดข้อผิดพลาด,An error occurred,发生错误,エラーが発生しました
common.success,สำเร็จ,Success,成功,成功
common.search,ค้นหา,Search,搜索,検索
common.noData,ไม่มีข้อมูล,No data,暂无数据,データなし
common.ok,ตกลง,OK,确定,OK
common.yes,ใช่,Yes,是,はい
common.no,ไม่,No,否,いいえ
common.online,ออนไลน์,Online,在线,オンライン
common.today,วันนี้,Today,今天,今日
common.yesterday,เมื่อวาน,Yesterday,昨天,昨日
common.justNow,เมื่อกี้,Just now,刚刚,たった今
common.minutesAgo,{n} นาทีที่แล้ว,{n} minutes ago,{n} 分钟前,{n}分前
common.hoursAgo,{n} ชั่วโมงที่แล้ว,{n} hours ago,{n} 小时前,{n}時間前
common.daysAgo,{n} วันที่แล้ว,{n} days ago,{n} 天前,{n}日前
common.joinedDate,เข้าร่วม,Joined,加入于,参加日
common.months.january,มกราคม,January,一月,1月
common.months.february,กุมภาพันธ์,February,二月,2月
common.months.march,มีนาคม,March,三月,3月
common.months.april,เมษายน,April,四月,4月
common.months.may,พฤษภาคม,May,五月,5月
common.months.june,มิถุนายน,June,六月,6月
common.months.july,กรกฎาคม,July,七月,7月
common.months.august,สิงหาคม,August,八月,8月
common.months.september,กันยายน,September,九月,9月
common.months.october,ตุลาคม,October,十月,10月
common.months.november,พฤศจิกายน,November,十一月,11月
common.months.december,ธันวาคม,December,十二月,12月
common.copyright,© 2026 KN Book. All rights reserved.,© 2026 KN Book. All rights reserved.,© 2026 KN Book. 版权所有。,© 2026 KN Book. All rights reserved.
profile.editProfile,แก้ไขโปรไฟล์,Edit Profile,编辑资料,プロフィール編集
profile.editCover,แก้ไขรูปหน้าปก,Edit Cover Photo,编辑封面照片,カバー写真を編集
profile.about,แนะนำตัวเอง,About,关于我,自己紹介
profile.noBio,ยังไม่มีคำแนะนำตัว...,No bio yet...,暂无简介...,自己紹介がありません...
profile.joinedDateMissing,ไม่ระบุวันที่เข้าร่วม,Join date not specified,未指定加入日期,参加日が指定されていません
profile.noPosts,ยังไม่มีโพสต์,No posts yet,暂无帖子,投稿がありません
profile.phone,เบอร์โทร,Phone,电话,電話
profile.posts,โพสต์,Posts,帖子,投稿
profile.friends,เพื่อน,Friends,好友,友達
profile.yourPosts,โพสต์ของคุณ,Your Posts,你的帖子,あなたの投稿
profile.theirPosts,โพสต์ของ,Posts by,的帖子,の投稿
profile.block,บล็อก,Block,拉黑,ブロック
profile.unblock,ยกเลิกบล็อก,Unblock,取消拉黑,ブロック解除
profile.blocked,ถูกบล็อก,Blocked,已拉黑,ブロック済み
profile.blockConfirm,บล็อก,Block,拉黑,ブロック
profile.unblockConfirm,ยกเลิกบล็อก,Unblock,取消拉黑,ブロック解除
profile.uploadSuccess,อัปเดตรูปโปรไฟล์เรียบร้อยแล้ว,Profile photo updated,头像已更新,プロフィール写真を更新しました
profile.coverSuccess,อัปเดตรูปหน้าปกเรียบร้อยแล้ว,Cover photo updated,封面照片已更新,カバー写真を更新しました
profile.uploadError,อัปโหลดรูปไม่สำเร็จ,Upload failed,上传失败,アップロードに失敗しました
profile.saveSuccess,บันทึกข้อมูลส่วนตัวเรียบร้อยแล้ว,Profile saved successfully,个人资料已保存,プロフィールを保存しました
profile.clickToChange,คลิกไอคอนกล้องเพื่อเปลี่ยนรูปโปรไฟล์,Click camera icon to change profile photo,点击相机图标更换头像,カメラアイコンをクリックして写真を変更
profile.fullName,ชื่อ-นามสกุล,Full Name,姓名,氏名
profile.nickname,ชื่อเล่น,Nickname,昵称,ニックネーム
profile.bio,แนะนำตัวเอง,Bio,个人简介,自己紹介
profile.bioPlaceholder,บอกเล่าเรื่องราวของคุณ...,Tell your story...,讲述你的故事...,あなたの話を聞かせて...
province.label,จังหวัด,Province,省份,都道府県
province.select,เลือกจังหวัด,Select Province,选择省份,都道府県を選択
friend.addFriend,เพิ่มเพื่อน,Add Friend,加好友,友達追加
friend.friends,เพื่อนกัน,Friends,已是好友,友達
friend.pending,รอการตอบรับ,Pending,等待回应,承認待ち
friend.confirm,ยืนยัน,Confirm,确认,確認
friend.decline,ปฏิเสธ,Decline,拒绝,拒否
friend.cancel,ยกเลิก,Cancel,取消,キャンセル
friend.remove,ลบเพื่อน,Remove Friend,删除好友,友達を削除
friend.requests,คำขอ,Requests,好友请求,リクエスト
friend.sent,ส่งไป,Sent,已发送,送信済み
friend.noFriends,ยังไม่มีเพื่อน,No friends yet,暂无好友,友達がいません
friend.noPending,ไม่มีคำขอที่รอ,No pending requests,没有待处理的请求,保留中のリクエストなし
friend.noSent,ไม่มีคำขอที่ส่งออกไป,No sent requests,没有已发送的请求,送信済みリクエストなし
friend.declineConfirm,ปฏิเสธคำขอเป็นเพื่อน?,Decline friend request?,拒绝好友请求？,友達リクエストを拒否しますか？
friend.cancelConfirm,ยกเลิกคำขอเป็นเพื่อน?,Cancel friend request?,取消好友请求？,友達リクエストをキャンセルしますか？
friend.removeConfirm,ลบเพื่อนคนนี้?,Remove this friend?,删除此好友？,この友達を削除しますか？
chat.typeMessage,พิมพ์ข้อความ...,Type a message...,输入消息...,メッセージを入力...
chat.loadOlder,โหลดข้อความเก่า,Load older messages,加载更早的消息,古いメッセージを読み込む
chat.image,รูปภาพ,Image,图片,画像
chat.video,วิดีโอ,Video,视频,動画
chat.file,ไฟล์,File,文件,ファイル
register.firstName,ชื่อ,First Name,名字,名前
register.lastName,นามสกุล,Last Name,姓氏,苗字
register.nickname,ชื่อเล่น,Nickname,昵称,ニックネーム
register.phone,เบอร์โทรศัพท์,Phone Number,电话号码,電話番号
register.username,ชื่อผู้ใช้,Username,用户名,ユーザー名
register.password,รหัสผ่าน,Password,密码,パスワード
register.firstNamePlaceholder,ชื่อจริง,First name,名字,名前
register.lastNamePlaceholder,นามสกุล,Last name,姓氏,苗字
register.validateName,กรุณากรอกชื่อ,Please enter your name,请输入姓名,名前を入力してください
register.validateLastname,กรุณากรอกนามสกุล,Please enter your last name,请输入姓氏,苗字を入力してください
register.validateNickname,กรุณากรอกชื่อเล่น,Please enter your nickname,请输入昵称,ニックネームを入力してください
register.validateProvince,กรุณาเลือกจังหวัด,Please select a province,请选择省份,都道府県を選択してください
register.validateUsername,กรุณากรอกชื่อผู้ใช้,Please enter a username,请输入用户名,ユーザー名を入力してください
register.validatePassword,กรุณากรอกรหัสผ่าน,Please enter a password,请输入密码,パスワードを入力してください
register.validatePhone,กรุณากรอกเบอร์โทรศัพท์,Please enter your phone number,请输入电话号码,電話番号を入力してください
bookmark.title,โพสต์ที่บันทึก,Saved Posts,收藏帖子,保存した投稿
bookmark.empty,ยังไม่มีโพสต์ที่บันทึก,No saved posts yet,暂无收藏帖子,保存した投稿がありません
bookmark.hint,กด 🔖 บนโพสต์เพื่อบันทึกไว้ดูทีหลัง,Tap 🔖 on a post to save it for later,点击帖子上的 🔖 收藏,投稿の 🔖 をタップして保存
admin.dashboard,แดชบอร์ด,Dashboard,仪表板,ダッシュボード
admin.overview,ภาพรวม,Overview,概览,概要
admin.users,ผู้ใช้งาน,Users,用户,ユーザー
admin.posts,โพสต์,Posts,帖子,投稿
admin.reports,รายงาน,Reports,举报,報告
admin.auditLog,บันทึกการใช้งาน,Audit Log,审计日志,監査ログ
admin.panelName,KN Admin,KN Admin,KN Admin,KN Admin
admin.panelDescription,แผงควบคุม,Control Panel,控制面板,コントロールパネル
admin.tokenPlaceholder,Token ผู้ดูแล,Admin Token,管理员令牌,管理者トークン
admin.onlineUsersRealtime,ผู้ใช้ออนไลน์ (เรียลไทม์),Online Users (Realtime),实时在线用户,オンラインユーザー（リアルタイム）
admin.realtimeUpdate,อัปเดตทุก 5 วินาที — ย้อนหลัง 30 จุด,Updated every 5 seconds — last 30 points,每5秒更新一次 — 最近30个点,5秒ごとに更新 — 過去30ポイント
admin.activityLast7Days,กิจกรรมย้อนหลัง 7 วัน,Activity last 7 days,过去7天活动,過去7日間のアクティビティ
admin.activeUsers,ผู้ใช้ที่ใช้งาน,Active users,活跃用户,アクティブユーザー
admin.stats,สถิติ,Statistics,统计,統計
admin.ban,แบน,Ban,封禁,BAN
admin.unban,ยกเลิกแบน,Unban,解封,BAN解除
admin.approve,อนุมัติ,Approve,批准,承認
admin.reject,ปฏิเสธ,Reject,拒绝,拒否
admin.banConfirm,ต้องการแบน "{name}" ใช่หรือไม่?,Ban "{name}"?,确认封禁 "{name}"？,"{name}"をBANしますか？
admin.unbanConfirm,ต้องการปลดแบน "{name}" ใช่หรือไม่?,Unban "{name}"?,确认解封 "{name}"？,"{name}"のBANを解除しますか？
admin.deletePostConfirm,ต้องการลบโพสต์ของ "{name}" ใช่หรือไม่?,Delete post by "{name}"?,确认删除 "{name}" 的帖子？,"{name}"の投稿を削除しますか？
admin.deletePostConfirmDetail,ลบโพสต์ของ "{name}" ใช่หรือไม่?,Delete post by "{name}"?,确认删除 "{name}" 的帖子？,"{name}"の投稿を削除しますか？
admin.restorePostConfirm,กู้คืนโพสต์ของ "{name}" ใช่หรือไม่?,Restore post by "{name}"?,确认恢复 "{name}" 的帖子？,"{name}"の投稿を復元しますか？
admin.totalUsers,ผู้ใช้ทั้งหมด,Total Users,总用户数,総ユーザー数
admin.onlineNow,Online ตอนนี้,Online Now,当前在线,現在オンライン
admin.totalPosts,โพสต์ทั้งหมด,Total Posts,总帖子数,総投稿数
admin.reportsToday,รายงานวันนี้,Reports Today,今日举报,今日の報告
admin.newToday,+{n} วันนี้,+{n} today,今日新增 +{n},今日 +{n}
admin.waitingReview,รอตรวจสอบ,Waiting for review,等待审核,レビュー待ち
admin.realtime,realtime,realtime,实时,リアルタイム
admin.searchUser,ค้นหาชื่อหรือ username...,Search name or username...,搜索姓名或用户名...,名前またはユーザー名を検索...
admin.totalCount,ทั้งหมด {n} คน,Total {n} users,共 {n} 人,合計 {n} 人
admin.userCol,ผู้ใช้,User,用户,ユーザー
admin.postsCol,โพสต์,Posts,帖子,投稿
admin.registeredCol,สมัครเมื่อ,Registered,注册时间,登録日
admin.statusCol,สถานะ,Status,状态,ステータス
admin.manageCol,จัดการ,Manage,管理,管理
admin.statusActive,ปกติ,Active,正常,正常
admin.statusBanned,ถูกแบน,Banned,已封禁,BAN済み
admin.postDetail,รายละเอียดโพสต์,Post Detail,帖子详情,投稿詳細
admin.deletePost,ลบโพสต์,Delete Post,删除帖子,投稿を削除
admin.restorePost,กู้คืนโพสต์,Restore Post,恢复帖子,投稿を復元
admin.deleted,ถูกลบแล้ว,Deleted,已删除,削除済み
admin.viewDetail,ดูรายละเอียด,View Detail,查看详情,詳細を見る
admin.totalPostsCount,โพสต์ทั้งหมด {n} รายการ · คลิกเพื่อดูรายละเอียด,{n} posts total · Click to view details,共 {n} 条帖子 · 点击查看详情,合計 {n} 件の投稿 · クリックして詳細を表示
admin.totalReportsCount,รายงานทั้งหมด {n} รายการ,{n} reports total,共 {n} 条举报,合計 {n} 件の報告
admin.noReports,ไม่มีรายงาน,No reports,没有举报,報告なし
admin.reportedBy,รายงาน,reported,举报了,が報告
admin.postOf,โพสต์ของ,Post by,的帖子,の投稿
admin.dismissReport,ปิดรายงาน,Dismiss Report,关闭举报,報告を閉じる
admin.dismissConfirm,ปิดรายงานนี้โดยไม่ดำเนินการ?,Dismiss this report without action?,不采取行动关闭此举报？,アクションなしでこの報告を閉じますか？
admin.deleteWithReports,ลบโพสต์และปิดรายงานทั้งหมดของโพสต์นี้?,Delete post and dismiss all reports for this post?,删除帖子并关闭所有相关举报？,この投稿を削除してすべての報告を閉じますか？
admin.auditHistory,ประวัติการดำเนินการทั้งหมด {n} รายการ,{n} total audit records,共 {n} 条操作记录,合計 {n} 件の操作記録
admin.noAuditLog,ยังไม่มีประวัติการดำเนินการ,No audit history yet,暂无操作记录,操作記録がありません
admin.exportUsers,Export Users CSV,Export Users CSV,导出用户 CSV,ユーザー CSV エクスポート
admin.exportStats,Export Stats CSV,Export Stats CSV,导出统计 CSV,統計 CSV エクスポート
admin.page.users,หน้า {n} / {total},Page {n} / {total},第 {n} / {total} 页,{n} / {total} ページ
admin.page.posts,หน้า {n} / {total},Page {n} / {total},第 {n} / {total} 页,{n} / {total} ページ
admin.page.reports,หน้า {n} / {total},Page {n} / {total},第 {n} / {total} 页,{n} / {total} ページ
admin.page.logs,หน้า {n} / {total},Page {n} / {total},第 {n} / {total} 页,{n} / {total} ページ
admin.tabComments,ความคิดเห็น,Comments,评论,コメント
admin.tabReactions,ถูกใจ,Reactions,点赞,リアクション
admin.tabReports,รายงาน,Reports,举报,報告
admin.actionBanUser,แบน User,Ban User,封禁用户,ユーザーBAN
admin.actionUnbanUser,ปลดแบน User,Unban User,解封用户,ユーザーBAN解除
admin.actionDeletePost,ลบโพสต์,Delete Post,删除帖子,投稿削除
admin.actionRestorePost,กู้คืนโพสต์,Restore Post,恢复帖子,投稿復元
admin.actionDismissReport,ปิดรายงาน,Dismiss Report,关闭举报,報告を閉じる
admin.postId,โพสต์ #,Post #,帖子 #,投稿 #
feeling.happy,มีความสุข,Happy,开心,嬉しい
feeling.excited,ตื่นเต้น,Excited,兴奋,ワクワク
feeling.sad,เศร้า,Sad,难过,悲しい
feeling.sleepy,ง่วงนอน,Sleepy,困,眠い
feeling.angry,โกรธ,Angry,生气,怒り
feeling.surprised,ประหลาดใจ,Surprised,惊讶,驚き
reaction.like,ถูกใจ,Like,点赞,いいね
reaction.love,รัก,Love,爱心,愛
reaction.haha,ฮ่าๆ,Haha,哈哈,笑
reaction.meh,เฉยๆ,Meh,无聊,まあまあ
reaction.sad,เศร้า,Sad,难过,悲しい
reaction.angry,โกรธ,Angry,生气,怒り
post.feeling,กำลังรู้สึก,Feeling,感觉,気分
post.editPost,แก้ไขโพสต์,Edit Post,编辑帖子,投稿を編集
post.deletePost,ลบโพสต์,Delete Post,删除帖子,投稿を削除
post.reportPost,รายงาน,Report,举报,報告
post.deleteConfirmFeed,ต้องการลบโพสต์นี้ใช่หรือไม่?,Delete this post?,确认删除此帖子？,この投稿を削除しますか？
post.commentCount,{n} คน,{n} people,{n} 人,{n}人
post.showReplies,ดูการตอบกลับทั้ง {n} รายการ,View {n} replies,查看 {n} 条回复,{n}件の返信を見る
post.hideReplies,ซ่อนการตอบกลับ,Hide replies,隐藏回复,返信を隠す
post.savePost,บันทึกโพสต์,Save post,收藏帖子,投稿を保存
post.unsavePost,ยกเลิกบันทึก,Unsave post,取消收藏,保存を解除
post.reportReasons,เนื้อหาไม่เหมาะสม|สแปมหรือโฆษณา|ข้อมูลเท็จ|การคุกคามหรือการกลั่นแกล้ง|อื่นๆ,Inappropriate content|Spam or ads|False information|Harassment or bullying|Other,不当内容|垃圾广告|虚假信息|骚扰或欺凌|其他,不適切なコンテンツ|スパムまたは広告|虚偽情報|嫌がらせまたはいじめ|その他
post.reportOther,อื่นๆ,Other,其他,その他
post.reportOtherPlaceholder,อธิบายเพิ่มเติม...,Describe further...,请进一步说明...,詳しく説明してください...
post.submitReport,รายงาน,Report,举报,報告
post.commentPlaceholder,แสดงความคิดเห็น...,Write a comment...,写评论...,コメントを書く...
post.replyPlaceholder,ตอบกลับ {name}...,Reply to {name}...,回复 {name}...,{name}に返信...
comment.save,บันทึก,Save,保存,保存
comment.cancel,ยกเลิก,Cancel,取消,キャンセル
comment.deleteConfirm,ลบความคิดเห็นนี้ใช่หรือไม่?,Delete this comment?,确认删除此评论？,このコメントを削除しますか？
comment.delete,ลบ,Delete,删除,削除
nav.notifications,การแจ้งเตือน,Notifications,通知,通知
nav.markAllRead,อ่านทั้งหมด,Mark all read,全部已读,すべて既読
nav.yourProfile,โปรไฟล์ของคุณ,Your Profile,我的资料,あなたのプロフィール
nav.settingsEdit,ตั้งค่า/แก้ไขโปรไฟล์,Settings / Edit Profile,设置/编辑资料,設定/プロフィール編集
nav.manageAccount,จัดการบัญชีของคุณ,Manage your account,管理您的账号,アカウントを管理
nav.bookmarkLabel,บันทึก,Saved,收藏,保存済み
nav.andMore,และอีก {n} คน,and {n} more,还有 {n} 人,他 {n} 人
nav.friendConfirmed,ยืนยันคำขอเป็นเพื่อนแล้ว,Friend request confirmed,已确认好友请求,友達リクエストを承認しました
nav.friendDeclined,ปฏิเสธคำขอแล้ว,Friend request declined,已拒绝好友请求,友達リクエストを拒否しました
nav.logoutConfirm,คุณต้องการออกจากระบบใช่หรือไม่?,Are you sure you want to logout?,确认退出登录？,ログアウトしますか？
chat.online,ออนไลน์,Online,在线,オンライン
chat.offline,ออฟไลน์,Offline,离线,オフライン
chat.loadingMore,กำลังโหลด...,Loading...,加载中...,読み込み中...
chat.loadOlderMessages,โหลดข้อความเก่า,Load older messages,加载更早的消息,古いメッセージを読み込む
call.calling,กำลังโทร...,Calling...,呼叫中...,発信中...
call.talking,กำลังคุย,Talking,通话中,通話中
media.permissionDenied,กรุณาอนุญาตการเข้าถึงกล้อง/ไมโครโฟนในการตั้งค่าเบราว์เซอร์,Please allow camera/microphone access in browser settings,请在浏览器设置中允许访问摄像头/麦克风,ブラウザの設定でカメラ/マイクのアクセスを許可してください
media.notFound,ไม่พบกล้องหรือไมโครโฟน,Camera or microphone not found,未找到摄像头或麦克风,カメラまたはマイクが見つかりません
media.inUse,กล้องหรือไมโครโฟนถูกใช้งานโดยแอปอื่นอยู่,Camera or microphone is in use by another app,摄像头或麦克风正被其他应用使用,カメラまたはマイクが他のアプリで使用中です
media.notSupported,กล้องไม่รองรับความละเอียดที่ต้องการ,Camera does not support the required resolution,摄像头不支持所需分辨率,カメラが必要な解像度をサポートしていません
profile.yourPostsLabel,โพสต์ของคุณ,Your Posts,你的帖子,あなたの投稿
profile.theirPostsLabel,โพสต์ของ {name},Posts by {name},{name} 的帖子,{name}の投稿
profile.postsCount,{n} โพสต์,{n} posts,{n} 条帖子,{n}件の投稿
profile.postsSummary,— โพสต์ทั้งหมด {n} รายการ —,— {n} posts total —,— 共 {n} 条帖子 —,— {n} 件の投稿 —
profile.coverAlt,รูปหน้าปก,Cover photo,封面照片,カバー写真
profile.avatarAlt,รูปโปรไฟล์,Profile photo,头像,プロフィール写真
